,Anou,Tipo,Contrato,sector,Monto
433,2012,48101,CNCA/DGA/CD/02822/12,CULTURALES,200000
434,2012,48101,CNCA/DGA/CD/02912/12,CULTURALES,3000000
436,2012,48101,CNCA/DGA/CD/02990/12,CULTURALES,6000000
437,2012,48101,CNCA/DGA/CD/02991/12,CULTURALES,4000000
438,2012,48101,CNCA/DGA/CD/02992/12,CULTURALES,2000000
439,2012,48101,CNCA/DGA/CD/02993/12,CULTURALES,2000000
440,2012,48101,CNCA/DGA/CD/02994/12,CULTURALES,1500000
441,2012,48101,CNCA/DGA/CD/03068/12,CULTURALES,1000000
442,2012,48101,CNCA/DGA/CD/03133/12,CULTURALES,5225110
443,2012,48101,CNCA/DGA/CD/03136/12,CULTURALES,1880000
444,2012,48101,CNCA/DGA/CD/03137/12,CULTURALES,800000
445,2012,48101,CNCA/DGA/CD/03138/12,CULTURALES,2000000
446,2012,48101,CNCA/DGA/CD/03140/12,CULTURALES,1500000
447,2012,48101,CNCA/DGA/CD/03141/12,CULTURALES,3000000
448,2012,48101,CNCA/DGA/CD/03142/12,CULTURALES,1500000
449,2012,48101,CNCA/DGA/CD/03145/12,CULTURALES,2217931
450,2012,48101,CNCA/DGA/CD/03146/12,CULTURALES,500000
451,2012,48101,CNCA/DGA/CD/03148/12,CULTURALES,200000
452,2012,48101,CNCA/DGA/CD/03221/12,CULTURALES,1500000
453,2012,48101,CNCA/DGA/CD/03266/12,CULTURALES,6000000
454,2012,48101,CNCA/DGA/CD/03296/12,CULTURALES,2350000
455,2012,48101,CNCA/DGA/CD/03297/12,CULTURALES,2820000
456,2012,48101,CNCA/DGA/CD/03298/12,CULTURALES,1410000
457,2012,48101,CNCA/DGA/CD/03299/12,CULTURALES,938335
458,2012,48101,CNCA/DGA/CD/03300/12,CULTURALES,940000
459,2012,48101,CNCA/DGA/CD/03301/12,CULTURALES,940000
460,2012,48101,CNCA/DGA/CD/03302/12,CULTURALES,1880000
461,2012,48101,CNCA/DGA/CD/03303/12,CULTURALES,1410000
462,2012,48101,CNCA/DGA/CD/03304/12,CULTURALES,1880000
463,2012,48101,CNCA/DGA/CD/03305/12,CULTURALES,940000
464,2012,48101,CNCA/DGA/CD/03312/12,EDUCATIVAS,1035000
465,2012,48101,CNCA/DGA/CD/03316/12,EDUCATIVAS,1100000
466,2012,48101,CNCA/DGA/CD/03317/12,EDUCATIVAS,1500000
467,2012,48101,CNCA/DGA/CD/03318/12,CULTURALES,633450
468,2012,48101,CNCA/DGA/CD/03319/12,EDUCATIVAS,910000
469,2012,48101,CNCA/DGA/CD/03328/12,CULTURALES,2820000
470,2012,48101,CNCA/DGA/CD/03329/12,CULTURALES,8200000
471,2012,48101,CNCA/DGA/CD/03330/12,CULTURALES,4183188
472,2012,48101,CNCA/DGA/CD/03331/12,CULTURALES,5640000
473,2012,48101,CNCA/DGA/CD/03333/12,CULTURALES,1880000
474,2012,48101,CNCA/DGA/CD/03334/12,CULTURALES,1456812
475,2012,48101,CNCA/DGA/CD/03351/12,CULTURALES,940000
476,2012,48101,CNCA/DGA/CD/03406/12,CULTURALES,8800000
477,2012,48101,CNCA/DGA/CD/03412/12,CULTURALES,4400000
478,2012,48101,CNCA/DGA/CD/03553/12,CULTURALES,1410000
479,2012,48101,CNCA/DGA/CD/03555/12,CULTURALES,1410000
480,2012,48101,CNCA/DGA/CD/03556/12,CULTURALES,1800000
482,2012,48101,CNCA/DGA/CD/03637/12,SALUD,10000000
483,2012,48101,CNCA/DGA/CD/03988/11,CULTURALES,1500000
484,2012,48101,CNCA/DGA/CD/03995/11,CULTURALES,5000000
485,2012,48101,CNCA/DGA/CD/04002/11,CULTURALES,3000000
486,2012,48101,CNCA/DGA/CD/04004/11,CULTURALES,2000000
487,2012,48101,CNCA/DGA/CD/04007/11,CULTURALES,2999558
488,2012,48101,CNCA/DGA/CD/04017/11,CULTURALES,1500000
489,2012,48101,CNCA/DGA/CD/04048/11,CULTURALES,1000000
490,2012,48101,CNCA/DGA/CD/04056/11,CULTURALES,18200000
491,2012,48101,CNCA/DGA/CD/04291/12,CULTURALES,2870000
492,2012,48101,CNCA/DGA/CD/04292/12,CULTURALES,2820000
493,2012,48101,CNCA/DGA/CD/04312/12,CULTURALES,1880000
494,2012,48101,CNCA/DGA/CD/04515/12,CULTURALES,1500000
495,2012,48101,CNCA/DGA/CD/04939/11,CULTURALES,1000000
496,2012,48101,CNCA/DGA/CD/04981/12,CULTURALES,2128000
497,2012,48101,CNCA/DGA/CD/05094/12,CULTURALES,3000000
498,2012,48101,CNCA/DGA/CD/05236/11,CULTURALES,1200000
499,2012,48101,CNCA/DGA/CD/05359/11,CULTURALES,3000000
500,2012,48101,CNCA/DGA/CD/1677/12,CULTURALES,3500000
501,2012,48101,CNCA/DGA/CD/3404/12,CULTURALES,2000000
502,2012,48101,CNCA/DGA/CD/3405/12,CULTURALES,9400000
503,2012,48101,CNCA/DGCP/CD/02445/12,CULTURALES,2500000
504,2012,48101,CNCA/DGCP/CD/03642/12,CULTURALES,7000000
505,2012,48101,CNCA/DGCP/CD/05146/12,CULTURALES,900000
506,2012,48101,CNCA/DGCP/CD/05210/12,CULTURALES,1280000
507,2012,48101,CNCA/DGP/CD/02869/12,CULTURALES,2000000
508,2012,48101,CNCA/DGP/CD/03623/12,CULTURALES,4989776
509,2012,48101,CNCA/SNFM/CD/01945/12,CULTURALES,20600000
510,2012,48101,CNCA/SNFM/CD/01946/12,CULTURALES,20600000
511,2012,48101,CNCA/SNFM/CD/01947/12,CULTURALES,20600000
512,2012,48101,CNCA/SNFM/CD/01948/12,CULTURALES,20600000
513,2012,48101,CNCA/SNFM/CD/01949/12,CULTURALES,20600000
514,2012,48101,CNCA/SNFM/CD/01950/12,CULTURALES,1000000
515,2012,48101,CNCA/SNFM/CD/01951/12,CULTURALES,3500000
516,2012,48101,CNCA/SNFM/CD/01998/12,CULTURALES,3760000
517,2012,48101,CNCA/SNFM/CD/02257/12,CULTURALES,300000
518,2012,48101,CNCA/SNFM/CD/02400/12,CULTURALES,3500000
519,2012,48101,CNCA/SNFM/CD/02518/12,CULTURALES,940000
520,2012,48101,CNCA/SNFM/CD/02589/12,CULTURALES,940000
521,2012,48101,CNCA/SNFM/CD/02863/12,CULTURALES,500000
522,2012,48101,CNCA/SNFM/CD/03557/12,CULTURALES,20000000
523,2012,48101,CNCA/SNFM/CD/04401/12,CULTURALES,940000
524,2012,48101,CNCA/SNFM/CD/1596/12,CULTURALES,3000000
525,2012,48201, CNCA/DGA/CD/02473/12,CULTURALES,1410000
526,2012,48201, CNCA/DGA/CD/04503/12,CULTURALES,89300000
527,2012,48201,CM/CNCA/DGCP/CD/03672/12,CULTURALES,470000
528,2012,48201,CNCA/CENART/CD/01059/12,CULTURALES,2000000
529,2012,48201,CNCA/CENART/CD/01932/12,CULTURALES,500000
530,2012,48201,CNCA/CENART/CD/01933/12,CULTURALES,6583384
531,2012,48201,CNCA/CENART/CD/02682/12,CULTURALES,3000000
532,2012,48201,CNCA/CENART/CD/04540/12,CULTURALES,2000000
533,2012,48201,CNCA/CENART/CD/04541/12,CULTURALES,500000
534,2012,48201,CNCA/CENART/CD/04542/12,CULTURALES,500000
535,2012,48201,CNCA/CENART/CD/04543/12,CULTURALES,500000
536,2012,48201,CNCA/CENART/CD/04544/12,CULTURALES,500000
537,2012,48201,CNCA/CENART/CD/04545/12,CULTURALES,500000
538,2012,48201,CNCA/CENART/CD/04546/12,CULTURALES,500000
539,2012,48201,CNCA/CNDCI/CD/02448/12,CULTURALES,1000000
540,2012,48201,CNCA/DGA/CD/ 02683/12,CULTURALES,3760000
541,2012,48201,CNCA/DGA/CD/00443/12,CULTURALES,30000000
542,2012,48201,CNCA/DGA/CD/00619/12,CULTURALES,1500000
543,2012,48201,CNCA/DGA/CD/01150/12,CULTURALES,1000000
544,2012,48201,CNCA/DGA/CD/01151/12,CULTURALES,2000000
545,2012,48201,CNCA/DGA/CD/01269/12,CULTURALES,500000
546,2012,48201,CNCA/DGA/CD/01330/12,CULTURALES,2500000
547,2012,48201,CNCA/DGA/CD/01535/12,CULTURALES,500000
548,2012,48201,CNCA/DGA/CD/01600/12,CULTURALES,2000000
549,2012,48201,CNCA/DGA/CD/01601/12,CULTURALES,1000000
550,2012,48201,CNCA/DGA/CD/01602/12,CULTURALES,3300000
551,2012,48201,CNCA/DGA/CD/01675/12,CULTURALES,21027818
552,2012,48201,CNCA/DGA/CD/01676/12,CULTURALES,3000000
553,2012,48201,CNCA/DGA/CD/01857/12,CULTURALES,1500000
554,2012,48201,CNCA/DGA/CD/01859/12,CULTURALES,500000
555,2012,48201,CNCA/DGA/CD/01861/12,CULTURALES,13254000
556,2012,48201,CNCA/DGA/CD/01880/12,CULTURALES,1000000
557,2012,48201,CNCA/DGA/CD/01881/12,CULTURALES,4000000
558,2012,48201,CNCA/DGA/CD/02285/12,CULTURALES,940000
559,2012,48201,CNCA/DGA/CD/02474/12,CULTURALES,1880000
560,2012,48201,CNCA/DGA/CD/02475/12,CULTURALES,940000
561,2012,48201,CNCA/DGA/CD/02476/12,CULTURALES,5640000
562,2012,48201,CNCA/DGA/CD/02477/12,CULTURALES,5637227
563,2012,48201,CNCA/DGA/CD/02478/12,CULTURALES,1410000
564,2012,48201,CNCA/DGA/CD/02479/12,CULTURALES,750000
565,2012,48201,CNCA/DGA/CD/02523/12,CULTURALES,6000000
566,2012,48201,CNCA/DGA/CD/02524/12,CULTURALES,5896000
567,2012,48201,CNCA/DGA/CD/02525/12,CULTURALES,940000
568,2012,48201,CNCA/DGA/CD/02526/12,CULTURALES,1880000
569,2012,48201,CNCA/DGA/CD/02527/12,CULTURALES,3042827
570,2012,48201,CNCA/DGA/CD/02528/12,CULTURALES,2000000
571,2012,48201,CNCA/DGA/CD/02547/12,CULTURALES,3800000
572,2012,48201,CNCA/DGA/CD/02548/12,CULTURALES,700000
573,2012,48201,CNCA/DGA/CD/02549/12,CULTURALES,1410000
574,2012,48201,CNCA/DGA/CD/02550/12,CULTURALES,1000000
575,2012,48201,CNCA/DGA/CD/02551/12,CULTURALES,500000
576,2012,48201,CNCA/DGA/CD/02552/12,CULTURALES,500000
577,2012,48201,CNCA/DGA/CD/02553/12,CULTURALES,500000
578,2012,48201,CNCA/DGA/CD/02554/12,CULTURALES,3948000
579,2012,48201,CNCA/DGA/CD/02605/12,CULTURALES,2000000
580,2012,48201,CNCA/DGA/CD/02685/12,CULTURALES,10000000
581,2012,48201,CNCA/DGA/CD/02862/12,CULTURALES,2350000
582,2012,48201,CNCA/DGA/CD/02963/12,CULTURALES,1645000
583,2012,48201,CNCA/DGA/CD/02964/12,CULTURALES,2000000
584,2012,48201,CNCA/DGA/CD/03062/12,CULTURALES,5000000
585,2012,48201,CNCA/DGA/CD/03063/12,CULTURALES,2500000
586,2012,48201,CNCA/DGA/CD/03064/12,CULTURALES,500000
587,2012,48201,CNCA/DGA/CD/03065/12,CULTURALES,2500000
588,2012,48201,CNCA/DGA/CD/03066/12,CULTURALES,4512000
589,2012,48201,CNCA/DGA/CD/03067/12,CULTURALES,1410000
590,2012,48201,CNCA/DGA/CD/03070/12,CULTURALES,1500000
591,2012,48201,CNCA/DGA/CD/03109/12,CULTURALES,6150000
592,2012,48201,CNCA/DGA/CD/03110/12,CULTURALES,1500000
593,2012,48201,CNCA/DGA/CD/03111/12,CULTURALES,470000
594,2012,48201,CNCA/DGA/CD/03112/12,CULTURALES,3000000
595,2012,48201,CNCA/DGA/CD/03114/12,CULTURALES,2500000
597,2012,48201,CNCA/DGA/CD/03132/12,CULTURALES,2000000
598,2012,48201,CNCA/DGA/CD/03134/12,CULTURALES,3290000
599,2012,48201,CNCA/DGA/CD/03143/12,CULTURALES,1940000
600,2012,48201,CNCA/DGA/CD/03144/12,CULTURALES,2000000
601,2012,48201,CNCA/DGA/CD/03243/12,CULTURALES,1500000
602,2012,48201,CNCA/DGA/CD/03289 /12,CULTURALES,21402000
603,2012,48201,CNCA/DGA/CD/03407/12,CULTURALES,10000000
604,2012,48201,CNCA/DGA/CD/03409/12,CULTURALES,2800000
605,2012,48201,CNCA/DGA/CD/03410/12,CULTURALES,8800000
606,2012,48201,CNCA/DGA/CD/03544/12,CULTURALES,500000
607,2012,48201,CNCA/DGA/CD/03551/12,CULTURALES,17000000
608,2012,48201,CNCA/DGA/CD/03552/12,CULTURALES,2832000
609,2012,48201,CNCA/DGA/CD/03554/12,CULTURALES,5000000
610,2012,48201,CNCA/DGA/CD/03603/12,CULTURALES,412000
611,2012,48201,CNCA/DGA/CD/03604/12,CULTURALES,115000
612,2012,48201,CNCA/DGA/CD/03605/12,CULTURALES,1880000
613,2012,48201,CNCA/DGA/CD/03624/12,CULTURALES,7000000
614,2012,48201,CNCA/DGA/CD/03625/12,CULTURALES,1000000
615,2012,48201,CNCA/DGA/CD/03626/12,CULTURALES,33513068
616,2012,48201,CNCA/DGA/CD/03638/12,CULTURALES,1000000
617,2012,48201,CNCA/DGA/CD/03639/12,CULTURALES,3000000
618,2012,48201,CNCA/DGA/CD/03640/12,CULTURALES,500000
619,2012,48201,CNCA/DGA/CD/03641/12,CULTURALES,8200000
620,2012,48201,CNCA/DGA/CD/03671/12,CULTURALES,2000000
621,2012,48201,CNCA/DGA/CD/03674/12,CULTURALES,1000000
622,2012,48201,CNCA/DGA/CD/03676/12,CULTURALES,750000
623,2012,48201,CNCA/DGA/CD/03677/12,CULTURALES,940000
624,2012,48201,CNCA/DGA/CD/04290/12,CULTURALES,2460000
625,2012,48201,CNCA/DGA/CD/04293/12,CULTURALES,1000000
626,2012,48201,CNCA/DGA/CD/04308/12,CULTURALES,3000000
627,2012,48201,CNCA/DGA/CD/04366/12,CULTURALES,500000
628,2012,48201,CNCA/DGA/CD/04367/12,CULTURALES,500000
629,2012,48201,CNCA/DGA/CD/04368/12,CULTURALES,1000000
630,2012,48201,CNCA/DGA/CD/04369/12,CULTURALES,1500000
631,2012,48201,CNCA/DGA/CD/04370/12,CULTURALES,12220000
632,2012,48201,CNCA/DGA/CD/04371/12,CULTURALES,2500000
633,2012,48201,CNCA/DGA/CD/04402/12,CULTURALES,250000
634,2012,48201,CNCA/DGA/CD/04403/12,CULTURALES,1000000
635,2012,48201,CNCA/DGA/CD/04404/12,CULTURALES,500000
636,2012,48201,CNCA/DGA/CD/04516/12,CULTURALES,1500000
637,2012,48201,CNCA/DGA/CD/04517/12,CULTURALES,1500000
638,2012,48201,CNCA/DGA/CD/04518/12,CULTURALES,1500000
639,2012,48201,CNCA/DGA/CD/04763/12,CULTURALES,3760000
640,2012,48201,CNCA/DGA/CD/04764/12,CULTURALES,1040000
641,2012,48201,CNCA/DGA/CD/04765/12,CULTURALES,6160000
642,2012,48201,CNCA/DGA/CD/04819/12,CULTURALES,1560000
643,2012,48201,CNCA/DGA/CD/04820/12,CULTURALES,1320000
644,2012,48201,CNCA/DGA/CD/04821/12,CULTURALES,5166000
645,2012,48201,CNCA/DGA/CD/04822/12,CULTURALES,11344860
646,2012,48201,CNCA/DGA/CD/04855/12,CULTURALES,21244000
647,2012,48201,CNCA/DGA/CD/04856/12,CULTURALES,2820000
648,2012,48201,CNCA/DGA/CD/04923/12,CULTURALES,940000
649,2012,48201,CNCA/DGA/CD/04940/12,CULTURALES,11980000
650,2012,48201,CNCA/DGA/CD/04941/12,CULTURALES,3760000
651,2012,48201,CNCA/DGA/CD/05049/12,CULTURALES,3000000
652,2012,48201,CNCA/DGA/CD/05113/12,CULTURALES,1500000
653,2012,48201,CNCA/DGA/CD/05114/12,CULTURALES,1760000
654,2012,48201,CNCA/DGA/CD/1617/12,CULTURALES,4000000
655,2012,48201,CNCA/DGA/CD/3332/12,CULTURALES,2000000
