"EJERCICIO","NOMBRE_INSTITUCION","CLAVE_PARTIDA","NUM_CONTRATO","DONATARIO","FECHA_CELEBRACION","MONTO_CONTRATO","FECHA_CONCLUSION","OBJETO_DONATIVO","TIPO_ACTIVIDADES_FINANCIAR","MONTO_OTORGADO"
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","108","MOVIMIENTO ACTIVO DE JÓVENES COMPROMETIDOS POR LA CALIDAD",29/06/12,105800,31/01/13,"PORQUE ME QUIERO... ME CUIDO PROGRAMA DE SENSIBILIZACIÓN, PREVENCIÓN Y ATENCIÓN PARA JÓVENES FRENTE A LAS ADICCIONES.","SALUD",105800
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","109","NUEVO MUNDO EN EDUCACIÓN ESPECIAL, QUERÉTARO",29/06/12,170000,14/12/12,"DESARROLLO DE HABILIDADES SOCIO ADAPTATIVAS EN JÓVENES Y ADULTOS CON DISCAPACIDAD INTELECTUAL.","SALUD",170000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","11","ASOCIACIÓN MANOS QUE AYUDAN",31/05/12,250000,31/12/12,"NIÑOS Y NIÑAS NUTRIDOS, SALUDABLES Y FELICES.","SALUD",250000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","110","PATRONATO DE APOYO CASA DEL ANCIANO DE CIUDAD LERDO",31/05/12,1500000,31/12/12,"MEJORAR LOS SERVICIOS QUE OFRECE EL ASILO DE ANCIANOS A LAS PERSONAS DE LA TERCERA EDAD, A TRAVÉS DEL EQUIPAMIENTO DE NUEVAS ÁREAS Y DE LA CONTRIBUCIÓN CON EQUIPO DE TERAPIA A LA UNIDAD BÁSICA DE REHABILITACION DE LA CIUDAD LERDO, DURANGO.","SALUD",1500000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","111","PATRONATO PARA LA COMUNIDAD TERAPÉUTICA",29/06/12,125000,25/10/12,"LA PREVENCIÓN DE LA RELACIÓN DE LOS TRASTORNOS MENTALES Y LAS ADICCIONES.","SALUD",125000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","112","PATRONATO PRO-DEFICIENTE MENTAL",31/05/12,50000,30/12/12,"TERAPIAS OCUPACIONALES-LABORALES PARA ATENDER Y APOYAR EN LA REHABILITACIÓN INTEGRAL DE PERSONAS CON DEFICIENCIA MENTAL LEVE. ","SALUD",50000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","113","PATRONATO PRO-FORMACIÓN DE UNA NIÑEZ MEJOR",31/05/12,1000000,31/12/12,"EQUIPAMIENTO GENERAL NUEVO EDIFICIO PARA LOS NIÑOS DE SAN AGUSTÍN.","SALUD",1000000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","114","PROAYUDA",29/06/12,145000,31/12/12,"ATENCIÓN ESPECIALIZADA PARA 170 PERSONAS ESPECIALES.","SALUD",145000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","115","RESTAURACIÓN, SALUD Y PROSPERIDAD",31/05/12,125000,31/12/12,"ALIMENTO Y HOSPEDAJE A ENFERMOS FORÁNEOS HOSPITALIZADOS Y/O TRATADOS EN INSTITUCIONES PÚBLICAS EN LA CIUDAD DE MÉXICO.","SALUD",125000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","116","ROGUIVA",29/06/12,161500,30/11/12,"PREVINIENDO Y CONTROLANDO EL SOBREPESO, LA OBESIDAD, LA DIABETES MELLITUS Y EL RIEGO CARDIO VASCULAR, DE PERSONAS DE LA TERCERA EDAD, EN ESTADO DE VULNERABILIDAD.","SALUD",161500
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","117","SALUD Y BIENESTAR COMUNITARIO",31/05/12,128000,15/03/13,"TOMANDO MEDIDAS, PARA UNA VIDA SALUDABLE.","SALUD",128000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","118","SERVICIOS DE BIENESTAR EN SALUD (SER BIEN)",31/05/12,90000,31/12/12,"EDUCADORES DE PARES DE DIABETES Y MESAS COMUNITARIAS. AMPLIANDO LA DETECCIÓN Y MEJORANDO CALIDAD DE VIDA DE PERSONAS EN RIESGO O VIVIENDO CON DIABETES TIPO 2, A TRAVÉS DE ACCIONES OPORTUNAS Y COMUNITARIAS. UNA INICIATIVA COMUNITARIA EN NEZAHUALCÓYOTL, LOS REYES LA PAZ ACAQUILPAN E IZTAPALAPA.","SALUD",90000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","119","SIN CERA SER",29/06/12,165000,17/01/13,"CENTRO DE EQUINO TERAPIA Y PSICOTERAPIA ASISTIDA CON EQUINOS PARA LA REHABILITACION DE HABILIDADES MOTORAS BÁSICAS Y TRASTORNOS EMOCIONALES CONSECUENCIA DEL MAL TRATO.","SALUD",165000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","12","ASOCIACIÓN MEXICANA ANNE SULLIVAN",29/06/12,124500,31/12/12,"CRECIENDO FELICES.","SALUD",124500
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","120","SOCIEDAD MEXICANA DE SALUD PÚBLICA",29/06/12,230000,03/08/12,"CURSO EN LÍNEA PARA PREVENCIÓN DE ACCIDENTES EN PERSONAS ADOLESCENTES Y JÓVENES.","SALUD",230000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","121","TENDIENDO PUENTES",29/06/12,100007,30/11/12,"CENTRO DE INTEGRACIÓN CRECIENDO JUNTOS.","SALUD",100007
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","122","FUNDACIÓN OWEN (ANTES TODOS EN CREE-CIMIENTO)",29/06/12,120000,31/01/13,"SUMA-T REHABILITACION SIN DOLOR PARA NIÑOS Y JÓVENES CON DISCAPACIDAD MÚLTIPLE. ENFOCADO A DESARROLLAR LAS CAPACIDADES DE NIÑOS Y JÓVENES CON DISCAPACIDAD MÚLTIPLE EN EL ÁREA FÍSICA, COGNITIVA Y CONDUCTUAL, A TRAVÉS DE PROGRAMAS INDIVIDUALES CON METAS ENFOCADAS A DISMINUIR EL AVANCE DEL DETERIORO CRÓNICO DE FORMA SUAVE, RECREATIVA, APORTANDO NUEVOS RECURSOS A LOS ALUMNOS.","SALUD",120000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","123","UN GRANITO DE ARENA",31/05/12,117184,30/12/12,"PREVENCIÓN Y ATENCIÓN DE LA SALUD A PERSONAS ADULTAS MAYORES ALBERGADOS EN LA INSTITUCIÓN PARA UN ENVEJECIMIENTO SALUDABLE.","SALUD",117184
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","124","UPA! CURA DUCHENNE MÉXICO",31/05/12,144000,02/02/13,"DETECCIÓN, VALORACIÓN Y DIAGNÓSTICO DE NIÑOS Y JÓVENES CON DISTROFIA MUSCULAR DUCHENNE Y OTRAS DISTROFIAS, CAPACITACIÓN Y ASESORAMIENTO A LAS FAMILIAS AFECTADAS.","SALUD",144000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","125","VIDA EN ABUNDANCIA DE MÉXICO",29/06/12,139500,31/01/13,"PROYECTO DE INTERVENCIÓN PARA MEJORAR LA SALUD INTEGRAL DE UN GRUPO DE NIÑOS EN RIESGO QUE VIVEN EN POBREZA EN COLONIAS POPULARES DE LA DELEGACIÓN OESTE DE LA CIUDAD DE XALAPA, VERACRUZ.","SALUD",139500
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","126","YOLIA NIÑAS DE LA CALLE",31/05/12,130000,31/03/13,"ACCESO Y EDUCACIÓN PARA LA SALUD EN NIÑOS, NIÑAS, ADOLESCENTES QUE SE ENCUENTRAN EN SITUACIÓN DE ALTO RIESGO SOCIAL.","SALUD",130000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","13","ASOCIACIÓN MEXICANA DE AYUDA A NIÑOS CON CÁNCER",29/06/12,100000,31/12/12,"CAMPAÑA DE CONCIENTIZACIÓN SOCIAL Y DIAGNÓSTICO OPORTUNO DEL CÁNCER INFANTIL. ","SALUD",100000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","14","ASOCIACIÓN MEXICANA DE AYUDA A NIÑOS CON CÁNCER",05/06/12,500000,15/12/12,"EQUIPAMIENTO DE LAS INSTALACIONES DEL CENTRO AMANC DEL ESTADO DE DURANGO.","SALUD",500000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","15","ASOCIACIÓN MEXICANA DE FIBROSIS QUÍSTICA",31/05/12,228000,31/12/12,"PROYECTO DE DIAGNÓSTICO, MEDICAMENTOS Y REGISTRO.","SALUD",228000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","16","ASOCIACIÓN MEXICANA DE MALTA",29/06/12,98000,01/01/13,"JORNADAS MÉDICAS MALTA Y ENTREGA DE MEDICAMENTOS.","SALUD",98000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","17","ASOCIACIÓN MEXICANA DE PARKINSON",31/05/12,109000,15/03/13,"AYÚDANOS A CONTINUAR EN MOVIMIENTO. ","SALUD",109000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","18","ASOCIACIÓN MEXICANA PARA LA AUDICIÓN AYÚDANOS A OIR",31/05/12,90750,30/12/12,"BECAS DE TERAPIA DE AUDICIÓN Y LENGUAJE PARA 20 PACIENTES CON DISCAPACIDAD AUDITIVA.","SALUD",90750
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","19","ASOCIACIÓN PRO PARALÍTICO CEREBRAL",28/09/12,1500000,12/12/12,"REHABILITACIÓN INTEGRAL.","SALUD",1500000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","2","ALIMENTO PARA TODOS",31/05/12,100000,30/12/12,"ORIENTACIÓN ALIMENTARIA Y NUTRICIONAL DIRIGIDA A BENEFICIARIOS DE ALIMENTO PARA TODOS CON LA APLICACIÓN DEL MODELO INTEGRAL DE ATENCIÓN ALIMENTARIA, FOMENTANDO EL CONSUMO DE VERDURAS Y FRUTAS E IMPACTANDO EN LA DISMINUCIÓN Y CONTROL DE SOBREPESO Y OBESIDAD.","SALUD",100000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","20","ASOCIACIÓN PRO PERSONAS CON PARÁLISIS CEREBRAL FRESNILLO",29/06/12,1500000,31/01/13,"EQUIPAMIENTO DEL SERVICIO DE REHABILITACIÓN E HIDROTERAPIA DE APAC FRESNILLO.","SALUD",1500000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","21","ASOCIACIÓN SINALOENSE DE AUTISMO",31/05/12,115500,31/01/13,"DIAGNÓSTICO OPORTUNO Y ATENCIÓN PSICOLÓGICA INTEGRAL A NIÑOS Y JÓVENES CON AUTISMO Y OTROS TRASTORNOS DEL DESARROLLO INTELECTUAL EN SINALOA.","SALUD",115500
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","22","AUDIO AMIGO",31/05/12,150000,31/12/12,"UNA POSIBILIDAD DE COMUNICACIÓN PARA PERSONAS CON DISCAPACIDAD AUDITIVA EN EL DISTRITO FEDERAL.","SALUD",150000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","23","BANCO DE ALIMENTOS CÁRITAS DEL ESTADO DE MÉXICO",31/05/12,139000,10/12/12,"DISMINUIR LA INCIDENCIA DE DIABETES MELLITUS DESNUTRICIÓN Y MALA NUTRICIÓN DE 120 MADRES DE FAMILIA DE JALTEPEC MUNICIPIO DE SAN JOSÉ DEL RINCÓN A TRAVÉS DE APOYO ALIMENTICIO Y PROGRAMA EN ASPECTOS BÁSICOS DE NUTRICIÓN.","SALUD",139000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","24","BRIGADA CALLEJERA DE APOYO A LA MUJER E. M.",31/05/12,134000,31/12/12,"PREVENCIÓN, DETECCIÓN TEMPRANA Y ATENCIÓN OPORTUNA DE CÁNCER CÉRVICO UTERINO Y DE GLÁNDULAS MAMARIAS, FOCALIZADA ENTRE TRABAJADORAS SEXUALES DE NIVEL SOCIOECONÓMICO BAJO, QUE NO PARTICIPEN EN OTRAS INICIATIVAS DE PROMOCIÓN DE LA SALUD SEXUAL Y REPRODUCTIVA EN LA MERCED D.F.; GUADALAJARA, JALISCO; ORIZABA, VERACRUZ; JOJUTLA, MORELOS; Y SAN MARTÍN TEXMELUCAN, PUEBLA.","SALUD",134000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","25","BUENA VISTA SINALOA",31/05/12,120000,30/12/12,"EVITEMOS LA CEGUERA A LAS PERSONAS CON DIABETES EN EL ESTADO DE SINALOA. ","SALUD",120000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","26","CÁRITAS MAZATLÁN",31/05/12,140000,30/04/13,"EDUCACIÓN AL ALIMENTO BALANCEADO.","SALUD",140000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","27","CASA DE LAS MERCEDES",31/05/12,141000,31/12/12,"PROYECTO DE PREVENCIÓN Y SALUD INTEGRAL PARA NIÑAS Y ADOLESCENTES, SUS HIJAS E HIJOS, EN SITUACIÓN DE VULNERABILIDAD Y RIESGO.","SALUD",141000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","28","CENTRO DE EDUCACIÓN INFANTIL PARA EL PUEBLO",31/05/12,73000,30/12/12,"CUIDO MI CUERPO Y MI CORAZÓN, CUIDO A MI FAMILIA Y A MI COMUNIDAD.","SALUD",73000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","29","CENTRO DE ESTIMULACIÓN TEMPRANA LA GAVIOTA",29/06/12,112000,01/02/13,"REHABILITACIÓN INTEGRAL A NIÑOS CON DISCAPACIDAD NEUROMOTORA PERTENECIENTES A FAMILIAS DE BAJOS RECURSOS.","SALUD",112000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","3","ALZHEIMER MÉXICO",31/05/13,118260,31/12/13,"CENTRO DE DÍA PARA LA ATENCIÓN DE PACIENTES CON ALZHEIMER Y OTRAS DEMENCIAS.","SALUD",118260
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","30","CENTRO INTEGRAL DE REHABILITACION INFANTIL",29/06/12,1000000,31/12/12,"CON ESPACIOS ADECUADOS Y EQUIPADOS, MAYOR IMPACTO EN EL DESARROLLO DE PERSONAS CON PARÁLISIS CEREBRAL EN GUADALAJARA, JALISCO.","SALUD",1000000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","31","CENTRO INTERDISCIPLINARIO PARA EL DESARROLLO SOCIAL",29/06/12,112000,31/01/13,"PROMOCIÓN Y EJERCICIO DEL DERECHO A LA SALUD EN NIÑAS, NIÑOS, MUJERES Y FAMILIAS INDÍGENAS OTOMÍS EN SITUACIÓN DE POBREZA, MARGINACIÓN Y RIESGO DE CALLE, QUE VIVEN EN LA CIUDAD DE MÉXICO.","SALUD",112000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","32","CENTRO JUVENIL DE PROMOCIÓN INTEGRAL",29/06/12,103000,28/02/13,"PREVENCIÓN DE OBESIDAD INFANTIL EN ENTORNOS FAMILIARES, ESCOLARES Y SOCIALES.","SALUD",103000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","33","CENTRO PARA LOS ADOLESCENTES DE SAN MIGUEL DE ALLENDE",31/05/12,125000,30/01/13,"IMPULSAR LA SALUD SEXUAL Y REPRODUCTIVA EN ZONAS RURALES CON ESCASOS RECURSOS EN LOS ESTADOS DE GUANAJUATO, GUERRERO, Y CHIHUAHUA, MEDIANTE LA FORMACIÓN DE PROMOTORES DE SALUD, DE PARTERAS PROFESIONALES Y CAPACITACIONES A PARTERAS TRADICIONALES. ","SALUD",125000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","34","CENTROS DE PREVENCIÓN COMUNITARIA REINTEGRA",29/06/12,100000,31/12/12,"PROGRAMA DE FORTALECIMIENTO EDUCATIVO PARA LA PROMOCIÓN DE LA SALUD INTEGRAL COMUNITARIA CON POBLACIÓN EN RIESGO DE LA COLONIA GUERRERO Y BARRIO DE LA LAGUNILLA. ","SALUD",100000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","35","COLEGIO SUPERIOR DE NEUROLINGÜÍSTICA Y PSICOPEDAGOGÍA",29/06/12,150000,28/02/13,"ATENCIÓN INTEGRAL A PACIENTES ADULTOS QUE HAN PERDIDO LA CAPACIDAD DEL HABLA A CONSECUENCIA DE UN PADECIMIENTO NEUROLÓGICO.","SALUD",150000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","36","COMITÉ CIUDADANO DE APOYO AL HOSPITAL PSIQUIÁTRICO FRAY BERNARDINO ÁLVAREZ",31/05/12,150000,30/11/12,"TU GRAN APOYO ME AYUDA.","SALUD",150000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","37","COMITÉ DE PROMOCIÓN SOCIAL DEL VALLE DEL YAQUI",31/05/12,173600,15/12/12,"PROMOCIÓN DE LA PREVENCIÓN Y ATENCIÓN DE TRASTORNOS MENTALES Y CONDUCTUALES.","SALUD",173600
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","38","COMUNIDAD CRECER",29/06/12,105225,29/01/13,"PROMOVIENDO UNA MEJOR CALIDAD DE VIDA DE LAS FAMILIAS CON UN HIJO/A CON DISCAPACIDAD MÚLTIPLE ,A TRAVÉS DE MEDIDAS PREVENTIVAS Y DE EDUCACIÓN PARA LA SALUD CON SU ACONDICIONAMIENTO FÍSICO Y MENTAL.","SALUD",105225
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","39","COMUNIDAD PARTICIPATIVA TEPITO",29/06/12,140000,31/01/13,"ATENCIÓN Y PREVENCIÓN A LA SALUD DE LAS PERSONAS ADULTAS MAYORES EN ABANDONO Y DESAMPARO DEL BARRIO DE TEPITO EN LA ZONA CENTRO DEL DISTRITO FEDERAL.","SALUD",140000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","4","AMANC ZACATECAS",29/06/12,2000000,31/05/13,"APOYO INTEGRAL Y EQUIPAMIENTO DEL CENTRO AMANC.","SALUD",2000000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","40","CONCIENCIA E INVESTIGACIÓN PARA LA SALUD",31/05/12,145000,30/12/12,"NUTRICIÓN Y SALUD ESCOLAR SEGUNDA FASE.","SALUD",145000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","41","CONSEJO REGIONAL LATINOAMERICANO Y DEL CARIBE DE SALUD MENTAL",31/05/12,250000,30/12/12,"SAPTEL: PROGRAMA DE APOYO, CONSEJO PSICOLÓGICO E INTERVENCIÓN EN CRISIS POR TELÉFONO 2012.","SALUD",250000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","42","DROGADICTOS ANÓNIMOS",31/05/12,189791,30/01/13,"JÓVENES LIBRES DE DROGAS.","SALUD",189791
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","43","EDNICA",31/05/12,100000,28/02/13,"LA PANZA ES PRIMERO! PROMOCIÓN DE UNA CULTURA ALIMENTARIA SALUDABLE Y DE HÁBITOS DEPORTIVOS PARA LA PREVENCIÓN Y DETECCIÓN DE SOBREPESO, BAJO PESO, DESNUTRICIÓN Y OBESIDAD EN NIÑEZ Y ADOLESCENCIA DE CALLE. ","SALUD",100000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","44","EDUCACIÓN E INTEGRACIÓN NUEVA INGLATERRA",29/06/12,2500000,18/12/12,"INCLUSIÓN EDUCATIVA, SOCIAL Y LABORAL PARA NIÑOS Y JÓVENES CON DISCAPACIDAD.","SALUD",2500000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","45","ESTANCIA ALZHEIMER DORITA DE OJEDA ",31/05/12,100000,14/12/12,"PLAN DE INTERVENCIÓN TERAPÉUTICA INTERDISCIPLINARIA Y TRANSVERSAL.","SALUD",100000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","46","FAMILIARES Y AMIGOS DE LOS ENFERMOS PSIQUIÁTRICOS",31/05/12,250000,30/11/12,"POR UNA ESTANCIA MÁS DIGNA.","SALUD",250000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","47","FAMILIAS UNIDAS IZCALLI",29/06/12,200000,31/12/12,"KALMANALISTLI KUITLAKALI.","SALUD",200000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","48","FLORECER CASA HOGAR",31/05/12,112500,31/12/12,"PROMOCIÓN EDUCATIVA EN SALUD EN UN ENTORNO FAVORABLE PARA NIÑOS, NIÑAS Y ADOLESCENTES DE 3 A 18 AÑOS QUE PROVIENEN DE FAMILIAS DESINTEGRADAS, DISFUNCIONALES Y DE MADRES SOLTERAS DE BAJOS RECURSOS.","SALUD",112500
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","49","FUNDACIÓN AMIGOS DEL MUNDO MÉXICO",31/05/12,113000,15/01/13,"CAPACITACIÓN INTEGRAL EN ALIMENTACIÓN, HIGIENE Y SALUD PARA LA PREVENCIÓN Y CONTROL DE SOBREPESO, OBESIDAD, DIABETES MELLITUS Y RIESGOS CARDIO-VASCULARES.","SALUD",113000
